,0,1,2,3,4
0,11622,2,6,2010,185000
1,14267,3,6,2010,185000
2,13830,3,3,2010,185000
3,9978,3,6,2010,115000
4,5005,2,1,2010,130000
5,10000,3,4,2010,115000
6,7980,3,3,2010,124000
7,8402,3,5,2010,124000
8,10176,2,2,2010,115000
9,8400,2,4,2010,124000
10,5858,2,6,2010,100000
11,1680,2,2,2010,130000
12,1680,3,3,2010,130000
13,2280,3,6,2010,130000
14,2280,2,6,2010,130000
15,12858,3,1,2010,185000
16,12883,3,6,2010,185000
17,11520,3,6,2010,185000
18,14122,3,2,2010,185000
19,14300,3,6,2010,185000
20,13650,3,6,2010,185000
21,7132,2,4,2010,100000
22,18494,3,1,2010,185000
23,3203,2,1,2010,130000
24,13300,3,6,2010,185000
25,8577,3,4,2010,124000
26,17433,4,1,2010,185000
27,8987,2,5,2010,124000
28,9215,2,4,2010,124000
29,10440,2,5,2010,115000
30,11920,3,4,2010,185000
31,9800,2,4,2010,115000
32,15410,3,4,2010,185000
33,13143,4,6,2010,185000
34,11134,4,6,2010,115000
35,4835,2,3,2010,130000
36,3515,2,1,2010,130000
37,3215,2,4,2010,130000
38,2544,2,2,2010,130000
39,2544,2,5,2010,130000
40,2980,2,5,2010,130000
41,2403,2,6,2010,130000
42,12853,1,4,2010,185000
43,7379,3,4,2010,100000
44,8000,3,4,2010,124000
45,10456,4,5,2010,115000
46,10791,4,3,2010,115000
47,18837,3,4,2010,185000
48,9600,4,6,2010,115000
49,9600,3,4,2010,115000
50,9900,3,4,2010,115000
51,9680,3,4,2010,115000
52,10600,3,5,2010,115000
53,13260,6,1,2010,185000
54,9724,3,3,2010,115000
55,17360,3,1,2010,185000
56,11380,2,1,2010,185000
57,8267,4,3,2010,124000
58,8197,3,2,2010,124000
59,8050,3,5,2010,124000
60,10725,3,5,2010,115000
61,10032,3,6,2010,115000
62,8382,3,2,2010,124000
63,10950,2,5,2010,115000
64,10895,3,6,2010,115000
65,13587,2,4,2010,185000
66,7898,2,4,2010,124000
67,8064,3,5,2010,124000
68,7635,3,6,2010,124000
69,9760,2,5,2010,115000
70,4800,3,1,2010,130000
71,4485,2,5,2010,130000
72,5805,3,6,2010,130000
73,6900,3,1,2010,100000
74,11851,3,6,2010,185000
75,8239,3,3,2010,124000
76,9656,2,6,2010,115000
77,9600,3,4,2010,115000
78,9000,3,4,2010,124000
79,9045,4,6,2010,124000
80,10560,2,6,2010,115000
81,5830,3,3,2010,100000
82,7793,3,5,2010,124000
83,5000,2,4,2010,130000
84,6000,2,4,2010,100000
85,6000,3,3,2010,100000
86,6360,3,3,2010,100000
87,6000,3,3,2010,100000
88,6240,2,5,2010,100000
89,6240,4,3,2010,100000
90,6120,2,3,2010,100000
91,8094,4,6,2010,124000
92,12900,3,5,2010,185000
93,3068,3,2,2010,130000
94,15263,3,5,2010,185000
95,10632,3,1,2010,115000
96,9900,3,2,2010,115000
97,6001,3,3,2010,100000
98,6449,4,3,2010,100000
99,6048,2,6,2010,100000
100,10773,4,5,2010,115000
101,7800,3,6,2010,124000
102,7832,2,5,2010,124000
103,7424,3,5,2010,100000
104,11227,4,3,2010,115000
105,20062,1,4,2010,185000
106,9259,2,6,2010,115000
107,17082,4,5,2010,185000
108,18600,4,6,2010,185000
109,11479,3,6,2010,185000
110,9350,3,6,2010,115000
111,9525,3,6,2010,115000
112,17485,1,1,2010,185000
113,11200,3,6,2010,115000
114,11980,1,6,2010,185000
115,12361,3,5,2010,185000
116,7360,2,3,2010,100000
117,14235,3,3,2010,185000
118,11105,2,7,2010,115000
119,9337,3,4,2010,115000
120,15240,3,6,2010,185000
121,7480,3,6,2010,100000
122,10389,3,5,2010,115000
123,9375,4,4,2010,115000
124,4435,1,4,2010,130000
125,8777,2,4,2010,124000
126,8842,3,1,2010,124000
127,10044,3,6,2010,115000
128,11792,2,6,2010,185000
129,6305,3,6,2010,100000
130,6410,3,5,2010,100000
131,4853,2,5,2010,130000
132,7890,2,3,2010,124000
133,7200,6,2,2010,100000
134,9839,3,5,2010,115000
135,10452,4,7,2010,115000
136,15600,5,3,2010,185000
137,19645,3,6,2010,185000
138,3907,1,4,2010,130000
139,3907,2,3,2010,130000
140,8154,1,4,2010,124000
141,9140,2,4,2010,124000
142,8712,3,6,2010,124000
143,3811,2,5,2010,130000
144,11050,3,5,2010,115000
145,9620,3,5,2010,115000
146,12760,5,3,2010,185000
147,11896,3,5,2010,185000
148,9803,2,1,2010,115000
149,9802,3,4,2010,115000
150,15300,2,6,2010,185000
151,10114,3,3,2010,115000
152,11875,3,6,2010,185000
153,2394,2,5,2010,130000
154,1476,3,3,2010,130000
155,1900,3,6,2010,130000
156,1890,3,6,2010,130000
157,6953,3,6,2010,100000
158,12887,2,4,2010,185000
159,7700,4,2,2010,124000
160,10475,3,3,2010,115000
161,10544,5,4,2010,115000
162,9892,3,2,2010,115000
163,12961,3,3,2010,185000
164,13008,2,10,2009,185000
165,10200,4,6,2009,115000
166,10179,3,7,2009,115000
167,11792,4,8,2009,185000
168,8400,3,6,2009,124000
169,7296,1,11,2009,100000
170,7380,2,7,2009,100000
171,8013,2,9,2009,124000
172,8923,3,2,2009,124000
173,7500,3,10,2009,100000
174,8803,3,7,2009,124000
175,7250,3,11,2009,100000
176,11900,3,7,2009,185000
177,13250,4,5,2009,185000
178,10928,3,8,2009,115000
179,12388,4,8,2009,185000
180,11088,3,5,2009,115000
181,7000,3,6,2009,100000
182,7500,3,3,2009,100000
183,8470,3,10,2009,124000
184,9373,3,6,2009,115000
185,10140,3,4,2009,115000
186,11050,3,8,2009,115000
187,7830,2,3,2009,124000
188,8510,3,7,2009,124000
189,7038,3,9,2009,100000
190,9000,3,7,2009,124000
191,1680,2,7,2009,130000
192,1680,2,7,2009,130000
193,2308,3,9,2009,130000
194,2280,2,8,2009,130000
195,2349,3,5,2009,130000
196,2364,3,7,2009,130000
197,2364,3,4,2009,130000
198,2104,2,10,2009,130000
199,10710,3,7,2009,115000
200,14257,4,6,2009,185000
201,12350,3,7,2009,185000
202,12350,3,5,2009,185000
203,13693,2,3,2009,185000
204,11578,3,7,2009,185000
205,16870,3,4,2009,185000
206,23303,5,6,2009,185000
207,10367,3,6,2009,115000
208,10872,2,2,2009,115000
209,13514,3,3,2009,185000
210,12878,3,6,2009,185000
211,15274,3,7,2009,185000
212,13262,4,6,2009,185000
213,9658,3,7,2009,115000
214,6904,2,8,2009,100000
