,0,1,2,3,4
0,11622,2,6,2010,135000
1,14267,3,6,2010,135000
2,13830,3,3,2010,135000
3,9978,3,6,2010,135000
4,5005,2,1,2010,135000
5,10000,3,4,2010,135000
6,7980,3,3,2010,135000
7,8402,3,5,2010,135000
8,10176,2,2,2010,135000
9,8400,2,4,2010,135000
10,5858,2,6,2010,135000
11,1680,2,2,2010,118000
12,1680,3,3,2010,118000
13,2280,3,6,2010,118000
14,2280,2,6,2010,118000
15,12858,3,1,2010,135000
16,12883,3,6,2010,135000
17,11520,3,6,2010,135000
18,14122,3,2,2010,135000
19,14300,3,6,2010,135000
20,13650,3,6,2010,135000
21,7132,2,4,2010,135000
22,18494,3,1,2010,135000
23,3203,2,1,2010,130000
24,13300,3,6,2010,135000
25,8577,3,4,2010,135000
26,17433,4,1,2010,135000
27,8987,2,5,2010,135000
28,9215,2,4,2010,135000
29,10440,2,5,2010,135000
30,11920,3,4,2010,135000
31,9800,2,4,2010,135000
32,15410,3,4,2010,135000
33,13143,4,6,2010,135000
34,11134,4,6,2010,135000
35,4835,2,3,2010,135000
36,3515,2,1,2010,144152
37,3215,2,4,2010,130000
38,2544,2,2,2010,118000
39,2544,2,5,2010,118000
40,2980,2,5,2010,130000
41,2403,2,6,2010,118000
42,12853,1,4,2010,135000
43,7379,3,4,2010,135000
44,8000,3,4,2010,135000
45,10456,4,5,2010,135000
46,10791,4,3,2010,135000
47,18837,3,4,2010,135000
48,9600,4,6,2010,135000
49,9600,3,4,2010,135000
50,9900,3,4,2010,135000
51,9680,3,4,2010,135000
52,10600,3,5,2010,135000
53,13260,6,1,2010,135000
54,9724,3,3,2010,135000
55,17360,3,1,2010,135000
56,11380,2,1,2010,135000
57,8267,4,3,2010,135000
58,8197,3,2,2010,135000
59,8050,3,5,2010,135000
60,10725,3,5,2010,135000
61,10032,3,6,2010,135000
62,8382,3,2,2010,135000
63,10950,2,5,2010,135000
64,10895,3,6,2010,135000
65,13587,2,4,2010,135000
66,7898,2,4,2010,135000
67,8064,3,5,2010,135000
68,7635,3,6,2010,135000
69,9760,2,5,2010,135000
70,4800,3,1,2010,135000
71,4485,2,5,2010,135000
72,5805,3,6,2010,135000
73,6900,3,1,2010,135000
74,11851,3,6,2010,135000
75,8239,3,3,2010,135000
76,9656,2,6,2010,135000
77,9600,3,4,2010,135000
78,9000,3,4,2010,135000
79,9045,4,6,2010,135000
80,10560,2,6,2010,135000
81,5830,3,3,2010,135000
82,7793,3,5,2010,135000
83,5000,2,4,2010,135000
84,6000,2,4,2010,135000
85,6000,3,3,2010,135000
86,6360,3,3,2010,135000
87,6000,3,3,2010,135000
88,6240,2,5,2010,135000
89,6240,4,3,2010,135000
90,6120,2,3,2010,135000
91,8094,4,6,2010,135000
92,12900,3,5,2010,135000
93,3068,3,2,2010,130000
94,15263,3,5,2010,135000
95,10632,3,1,2010,135000
96,9900,3,2,2010,135000
97,6001,3,3,2010,135000
98,6449,4,3,2010,135000
99,6048,2,6,2010,135000
100,10773,4,5,2010,135000
101,7800,3,6,2010,135000
102,7832,2,5,2010,135000
103,7424,3,5,2010,135000
104,11227,4,3,2010,135000
105,20062,1,4,2010,135000
106,9259,2,6,2010,135000
107,17082,4,5,2010,135000
108,18600,4,6,2010,135000
109,11479,3,6,2010,135000
110,9350,3,6,2010,135000
111,9525,3,6,2010,135000
112,17485,1,1,2010,135000
113,11200,3,6,2010,135000
114,11980,1,6,2010,135000
115,12361,3,5,2010,135000
116,7360,2,3,2010,135000
117,14235,3,3,2010,135000
118,11105,2,7,2010,135000
119,9337,3,4,2010,135000
120,15240,3,6,2010,135000
121,7480,3,6,2010,135000
122,10389,3,5,2010,135000
123,9375,4,4,2010,135000
124,4435,1,4,2010,135000
125,8777,2,4,2010,135000
126,8842,3,1,2010,135000
127,10044,3,6,2010,135000
128,11792,2,6,2010,135000
129,6305,3,6,2010,135000
130,6410,3,5,2010,135000
131,4853,2,5,2010,135000
132,7890,2,3,2010,135000
133,7200,6,2,2010,135000
134,9839,3,5,2010,135000
135,10452,4,7,2010,135000
136,15600,5,3,2010,135000
137,19645,3,6,2010,135000
138,3907,1,4,2010,135000
139,3907,2,3,2010,135000
140,8154,1,4,2010,135000
141,9140,2,4,2010,135000
142,8712,3,6,2010,135000
143,3811,2,5,2010,135000
144,11050,3,5,2010,135000
145,9620,3,5,2010,135000
146,12760,5,3,2010,135000
147,11896,3,5,2010,135000
148,9803,2,1,2010,135000
149,9802,3,4,2010,135000
150,15300,2,6,2010,135000
151,10114,3,3,2010,135000
152,11875,3,6,2010,135000
153,2394,2,5,2010,118000
154,1476,3,3,2010,118000
155,1900,3,6,2010,118000
156,1890,3,6,2010,118000
157,6953,3,6,2010,135000
158,12887,2,4,2010,135000
159,7700,4,2,2010,135000
160,10475,3,3,2010,135000
161,10544,5,4,2010,135000
162,9892,3,2,2010,135000
163,12961,3,3,2010,135000
164,13008,2,10,2009,135000
165,10200,4,6,2009,135000
166,10179,3,7,2009,135000
167,11792,4,8,2009,135000
168,8400,3,6,2009,135000
169,7296,1,11,2009,135000
170,7380,2,7,2009,135000
171,8013,2,9,2009,135000
172,8923,3,2,2009,135000
173,7500,3,10,2009,135000
174,8803,3,7,2009,135000
175,7250,3,11,2009,135000
176,11900,3,7,2009,135000
177,13250,4,5,2009,135000
178,10928,3,8,2009,135000
179,12388,4,8,2009,135000
180,11088,3,5,2009,135000
181,7000,3,6,2009,135000
182,7500,3,3,2009,135000
183,8470,3,10,2009,135000
184,9373,3,6,2009,135000
185,10140,3,4,2009,135000
186,11050,3,8,2009,135000
187,7830,2,3,2009,135000
188,8510,3,7,2009,135000
189,7038,3,9,2009,135000
190,9000,3,7,2009,135000
191,1680,2,7,2009,118000
192,1680,2,7,2009,118000
193,2308,3,9,2009,118000
194,2280,2,8,2009,118000
195,2349,3,5,2009,118000
196,2364,3,7,2009,118000
197,2364,3,4,2009,118000
198,2104,2,10,2009,118000
199,10710,3,7,2009,135000
200,14257,4,6,2009,135000
201,12350,3,7,2009,135000
202,12350,3,5,2009,135000
203,13693,2,3,2009,135000
204,11578,3,7,2009,135000
205,16870,3,4,2009,135000
206,23303,5,6,2009,135000
207,10367,3,6,2009,135000
208,10872,2,2,2009,135000
209,13514,3,3,2009,135000
210,12878,3,6,2009,135000
211,15274,3,7,2009,135000
212,13262,4,6,2009,135000
213,9658,3,7,2009,135000
214,6904,2,8,2009,135000
215,5122,1,3,2009,135000
216,10307,2,5,2009,135000
217,14836,2,2,2009,135000
218,15262,3,7,2009,135000
219,7390,2,5,2009,135000
220,6472,2,4,2009,135000
221,16770,3,9,2009,135000
222,3480,2,11,2009,144152
223,10928,3,6,2009,135000
224,8918,3,7,2009,135000
225,3182,2,8,2009,130000
226,9434,3,8,2009,135000
227,7984,3,9,2009,135000
228,10125,3,7,2009,135000
229,8965,3,6,2009,135000
230,8174,3,5,2009,135000
231,12891,4,7,2009,135000
232,9734,3,5,2009,135000
233,8433,3,6,2009,135000
234,7750,3,3,2009,135000
235,15896,4,5,2009,135000
236,7848,3,6,2009,135000
237,12720,4,9,2009,135000
238,10750,3,6,2009,135000
239,9085,3,11,2009,135000
240,11692,3,10,2009,135000
241,11194,3,9,2009,135000
242,10206,3,9,2009,135000
243,10130,3,3,2009,135000
244,9139,3,9,2009,135000
245,11128,2,10,2009,135000
246,7993,3,10,2009,135000
247,8640,3,5,2009,135000
248,12606,3,5,2009,135000
249,7500,2,6,2009,135000
250,10603,3,7,2009,135000
251,8125,3,10,2009,135000
252,10625,3,3,2009,135000
253,8736,3,8,2009,135000
254,8127,3,3,2009,135000
255,9605,3,4,2009,135000
256,7500,3,6,2009,135000
257,7500,3,8,2009,135000
258,10628,3,1,2009,135000
259,10141,3,1,2009,135000
260,13072,3,5,2009,135000
261,13072,3,8,2009,135000
262,12450,3,6,2009,135000
263,7328,2,2,2009,135000
264,11492,4,4,2009,135000
265,7703,3,11,2009,135000
266,7175,2,2,2009,135000
267,9109,3,10,2009,135000
268,10274,3,7,2009,135000
269,8250,4,5,2009,135000
270,9750,3,11,2009,135000
271,8499,3,6,2009,135000
272,9079,2,7,2009,135000
273,9316,3,5,2009,135000
274,7791,3,10,2009,135000
275,7150,3,10,2009,135000
276,15676,2,4,2009,135000
277,11949,3,7,2009,135000
278,2880,3,7,2009,130000
279,3830,2,1,2009,135000
280,4217,1,3,2009,135000
281,2998,2,8,2009,130000
282,3768,3,9,2009,135000
283,14694,2,6,2009,135000
284,15417,2,6,2009,135000
285,9600,4,1,2009,135000
286,12732,3,6,2009,135000
287,10400,5,5,2009,135000
288,9600,3,8,2009,135000
289,9000,3,8,2009,135000
290,13774,4,11,2009,135000
291,7130,2,6,2009,135000
292,9600,3,3,2009,135000
293,9600,4,5,2009,135000
294,16500,3,5,2009,135000
295,7436,2,8,2009,135000
296,8125,3,9,2009,135000
297,9450,3,5,2009,135000
298,13495,3,7,2009,135000
299,9350,3,2,2009,135000
300,10500,3,7,2009,135000
301,8970,4,6,2009,135000
302,11475,4,9,2009,135000
303,9768,2,2,2009,135000
304,9900,2,4,2009,135000
305,10573,3,4,2009,135000
306,14695,2,7,2009,135000
307,8760,3,6,2009,135000
308,12285,3,8,2009,135000
309,9240,3,6,2009,135000
310,8750,3,11,2009,135000
311,8750,3,7,2009,135000
312,10400,3,11,2009,135000
313,9482,4,12,2009,135000
314,8128,3,2,2009,135000
315,13070,2,10,2009,135000
316,8480,2,8,2009,135000
317,7626,2,3,2009,135000
318,9533,2,8,2009,135000
319,11419,3,12,2009,135000
320,9600,3,8,2009,135000
321,5470,2,8,2009,135000
322,10800,4,8,2009,135000
323,8146,2,5,2009,135000
324,10230,3,12,2009,135000
325,10410,3,6,2009,135000
326,7200,4,8,2009,135000
327,5400,2,6,2009,135000
328,10800,2,6,2009,135000
329,10800,1,11,2009,135000
330,9671,6,8,2009,135000
331,10143,3,6,2009,135000
332,11500,3,5,2009,135000
333,8010,2,9,2009,135000
334,10454,3,4,2009,135000
335,9000,2,4,2009,135000
336,8064,3,12,2009,135000
337,7350,3,3,2009,135000
338,7200,2,9,2009,135000
339,8000,3,7,2009,135000
340,10800,4,8,2009,135000
341,8064,3,8,2009,135000
342,7570,4,3,2009,135000
343,8604,2,11,2009,135000
344,7936,3,4,2009,135000
345,4080,3,6,2009,135000
346,10307,4,6,2009,135000
347,15660,3,7,2009,135000
348,9900,3,3,2009,135000
349,6406,3,10,2009,135000
350,7627,4,10,2009,135000
351,10134,3,7,2009,135000
352,6000,3,3,2009,135000
353,7404,2,11,2009,135000
354,5925,1,10,2009,135000
355,8520,2,2,2009,135000
356,9600,3,6,2009,135000
357,8400,3,6,2009,135000
358,3600,3,5,2009,135000
359,3300,2,6,2009,130000
360,5400,3,9,2009,135000
361,9720,4,9,2009,135000
362,9392,2,9,2009,135000
363,6615,3,9,2009,135000
364,4960,3,5,2009,135000
365,6000,3,6,2009,135000
366,6120,2,3,2009,135000
367,6120,3,2,2009,135000
368,8635,2,8,2009,135000
369,8094,3,6,2009,135000
370,9928,3,6,2009,135000
371,3000,4,9,2009,130000
372,6876,4,8,2009,135000
373,5775,3,2,2009,135000
374,5852,6,5,2009,135000
375,5160,3,8,2009,135000
376,5160,1,7,2009,135000
377,10320,3,2,2009,135000
378,4280,2,9,2009,135000
379,10800,3,3,2009,135000
380,10547,2,7,2009,135000
381,9780,4,3,2009,135000
382,11625,3,4,2009,135000
383,8014,3,6,2009,135000
384,15400,4,7,2009,135000
385,15312,3,3,2009,135000
386,15584,4,10,2009,135000
387,9000,2,6,2009,135000
388,15635,2,10,2009,135000
389,9571,2,2,2009,135000
390,9350,3,7,2009,135000
391,7440,3,9,2009,135000
392,4235,2,2,2009,135000
393,10778,1,7,2009,135000
394,19255,2,9,2009,135000
395,10560,3,8,2009,135000
396,26400,4,6,2009,135000
397,7018,6,6,2009,135000
398,7018,4,6,2009,135000
399,7040,2,6,2009,135000
400,7007,4,6,2009,135000
401,11855,6,10,2009,135000
402,7939,6,10,2009,135000
403,7976,6,10,2009,135000
404,10933,1,7,2009,135000
405,10816,3,11,2009,135000
406,9178,3,6,2009,135000
407,11422,3,4,2009,135000
408,6762,2,5,2009,135000
409,10324,2,3,2009,135000
410,11645,3,3,2009,135000
411,11646,3,7,2009,135000
412,16698,3,6,2009,135000
413,9757,3,10,2009,135000
414,14753,3,12,2009,135000
415,8750,3,4,2009,135000
416,10739,3,4,2009,135000
417,11166,3,7,2009,135000
418,16269,3,7,2009,135000
419,6950,2,10,2009,135000
420,11664,3,9,2009,135000
421,12334,4,6,2009,135000
422,8749,3,11,2009,135000
423,11250,3,5,2009,135000
424,15750,2,6,2009,135000
425,12782,3,6,2009,135000
426,8750,3,8,2009,135000
427,10200,3,1,2009,135000
428,11069,3,7,2009,135000
429,10682,3,7,2009,135000
430,3675,2,4,2009,135000
431,6410,3,3,2009,135000
432,11767,3,6,2009,135000
433,10926,6,8,2009,135000
434,11767,2,5,2009,135000
435,8212,3,9,2009,135000
436,6300,3,7,2009,135000
